날짜,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2016-01-01,68,45,0.006,0.047,1.0,0.006
2016-01-02,51,31,0.009,0.044,0.7,0.006
2016-01-03,96,58,0.013,0.049,0.9,0.007
2016-01-04,74,47,0.025,0.025,0.6,0.006
2016-01-05,32,16,0.016,0.025,0.4,0.006
2016-01-06,56,29,0.008,0.041,0.7,0.007
2016-01-07,39,20,0.016,0.026,0.5,0.006
2016-01-08,34,18,0.014,0.03,0.5,0.006
2016-01-09,37,19,0.014,0.032,0.5,0.006
2016-01-10,32,19,0.02,0.026,0.5,0.006
2016-01-11,40,21,0.017,0.028,0.5,0.006
2016-01-12,49,24,0.012,0.035,0.6,0.006
2016-01-13,38,20,0.014,0.032,0.5,0.005
2016-01-14,43,21,0.011,0.037,0.6,0.006
2016-01-15,51,29,0.007,0.049,0.7,0.006
2016-01-16,69,43,0.005,0.049,0.8,0.006
2016-01-17,69,46,0.007,0.047,0.9,0.006
2016-01-18,56,32,0.021,0.023,0.6,0.005
2016-01-19,33,13,0.024,0.015,0.4,0.005
2016-01-20,38,22,0.014,0.031,0.5,0.005
2016-01-21,51,30,0.011,0.039,0.7,0.006
2016-01-22,50,27,0.014,0.034,0.6,0.006
2016-01-23,32,14,0.026,0.015,0.4,0.005
2016-01-24,38,19,0.024,0.015,0.4,0.006
2016-01-25,50,17,0.014,0.033,0.5,0.006
2016-01-26,78,37,0.005,0.055,0.9,0.008
2016-01-27,63,31,0.012,0.047,0.8,0.007
2016-01-28,58,31,0.005,0.056,0.9,0.006
2016-01-29,50,26,0.009,0.043,0.7,0.007
2016-01-30,40,24,0.009,0.042,0.8,0.006
2016-01-31,39,21,0.025,0.02,0.5,0.006
2016-02-01,40,18,0.021,0.025,0.5,0.005
2016-02-02,45,22,0.015,0.038,0.6,0.006
2016-02-03,56,30,0.009,0.054,0.9,0.007
2016-02-04,55,30,0.015,0.043,0.8,0.007
2016-02-05,45,21,0.018,0.035,0.6,0.006
2016-02-06,50,24,0.025,0.023,0.5,0.007
2016-02-07,46,24,0.015,0.034,0.6,0.006
2016-02-08,73,41,0.024,0.031,0.7,0.007
2016-02-09,50,25,0.027,0.02,0.5,0.007
2016-02-10,40,22,0.009,,0.8,0.006
2016-02-11,46,25,0.01,0.05,0.8,0.007
2016-02-12,33,21,0.01,0.042,0.7,0.005
2016-02-13,15,10,0.006,0.035,0.7,0.005
2016-02-14,29,17,0.023,0.014,0.4,0.004
2016-02-15,33,11,0.027,0.018,0.4,0.004
2016-02-16,27,15,0.018,0.029,0.5,0.005
2016-02-17,38,15,0.015,0.036,0.5,0.005
2016-02-18,44,22,0.021,0.038,0.6,0.006
2016-02-19,82,41,0.008,0.046,0.9,0.007
2016-02-20,44,18,0.02,0.031,0.5,0.005
2016-02-21,26,12,0.029,0.019,0.4,0.005
2016-02-22,43,18,0.011,0.042,0.5,0.005
2016-02-23,53,27,0.02,0.029,0.5,0.005
2016-02-24,32,17,0.023,0.026,0.4,0.005
2016-02-25,51,28,0.02,0.034,0.6,0.006
2016-02-26,49,28,0.022,0.036,0.6,0.007
2016-02-27,65,40,0.019,0.04,0.6,0.006
2016-02-28,46,28,0.016,0.041,0.6,0.005
2016-02-29,54,28,0.029,0.02,0.4,0.005
2016-03-01,31,17,0.027,0.024,0.4,0.005
2016-03-02,36,20,0.02,0.036,0.5,0.006
2016-03-03,56,30,0.019,0.044,0.5,0.005
2016-03-04,68,36,0.018,0.046,0.6,0.006
2016-03-05,22,14,0.012,0.032,0.5,0.005
2016-03-06,94,23,0.024,0.023,0.5,0.005
2016-03-07,108,28,0.008,0.049,0.7,0.005
2016-03-08,71,20,0.027,0.023,0.5,0.005
2016-03-09,44,15,0.027,0.018,0.4,0.005
2016-03-10,35,14,0.029,0.017,0.4,0.005
2016-03-11,36,17,0.029,0.023,0.4,0.005
2016-03-12,43,19,0.024,0.032,0.5,0.005
2016-03-13,61,35,0.026,0.035,0.6,0.006
2016-03-14,64,42,0.032,0.029,0.6,0.005
2016-03-15,57,28,0.021,0.046,0.6,0.006
2016-03-16,64,32,0.02,0.053,0.6,0.008
2016-03-17,76,40,0.008,0.074,0.9,0.007
2016-03-18,66,36,0.02,0.056,0.8,0.007
2016-03-19,77,39,0.029,0.035,0.6,0.005
2016-03-20,83,44,0.024,0.042,0.7,0.007
2016-03-21,87,48,0.022,0.051,0.7,0.007
2016-03-22,72,44,0.028,0.044,0.6,0.006
2016-03-23,81,46,0.032,0.03,0.5,0.005
2016-03-24,41,21,0.029,0.027,0.4,0.004
2016-03-25,70,35,0.023,0.042,0.6,0.006
2016-03-26,66,40,0.026,0.042,0.6,0.005
2016-03-27,66,40,0.037,0.035,0.6,0.006
2016-03-28,70,40,0.033,0.048,0.6,0.008
2016-03-29,97,51,0.049,0.035,0.6,0.007
2016-03-30,91,48,0.031,0.039,0.6,0.006
2016-03-31,51,22,0.017,0.057,0.6,0.007
2016-04-01,72,30,0.024,0.061,0.7,0.007
2016-04-02,80,39,0.037,0.05,0.7,0.008
2016-04-03,52,31,0.028,0.029,0.5,0.004
2016-04-04,29,12,0.021,0.033,0.5,0.004
2016-04-05,58,22,0.028,0.038,0.5,0.007
2016-04-06,74,36,0.027,0.05,0.6,0.008
2016-04-07,43,24,0.033,,0.5,0.005
2016-04-08,77,39,0.03,0.034,0.5,0.006
2016-04-09,117,58,0.019,0.041,0.8,0.006
2016-04-10,134,68,0.039,0.031,0.8,0.006
2016-04-11,46,20,0.031,0.031,0.4,0.004
2016-04-12,57,27,0.03,0.035,0.5,0.005
2016-04-13,58,32,0.021,0.045,0.6,0.005
2016-04-14,57,30,0.017,0.042,0.6,0.005
2016-04-15,54,27,0.031,0.039,0.6,0.005
2016-04-16,51,24,0.029,0.04,0.5,0.005
2016-04-17,46,16,0.04,0.015,0.4,0.004
2016-04-18,63,23,0.035,0.025,0.5,0.005
2016-04-19,45,20,0.03,0.031,0.4,0.004
2016-04-20,63,31,0.02,0.047,0.6,0.005
2016-04-21,27,17,0.028,0.031,0.4,0.004
2016-04-22,81,47,0.034,0.031,0.6,0.005
2016-04-23,198,42,0.027,0.032,0.6,0.004
2016-04-24,144,26,0.031,0.031,0.5,0.004
2016-04-25,76,24,0.023,0.051,0.6,0.005
2016-04-26,78,29,0.037,0.039,0.6,0.005
2016-04-27,50,16,0.045,0.021,0.4,0.004
2016-04-28,58,20,0.035,0.033,0.4,0.004
2016-04-29,63,27,0.039,0.033,0.5,0.005
2016-04-30,76,35,0.058,0.027,0.6,0.007
2016-05-01,45,20,0.05,0.024,0.5,0.005
2016-05-02,46,24,0.03,0.03,0.5,0.004
2016-05-03,19,9,0.03,0.015,0.3,0.004
2016-05-04,49,12,0.041,0.018,0.3,0.004
2016-05-05,54,21,0.03,0.036,0.6,0.005
2016-05-06,46,22,0.022,0.032,0.5,0.004
2016-05-07,112,22,0.03,0.026,0.5,0.005
2016-05-08,52,16,0.039,0.027,0.5,0.005
2016-05-09,59,21,0.038,0.033,0.5,0.005
2016-05-10,31,14,0.036,0.022,0.4,0.004
2016-05-11,29,13,0.034,0.027,0.4,0.004
2016-05-12,29,15,0.035,0.03,0.4,0.005
2016-05-13,39,21,0.043,0.024,0.5,0.004
2016-05-14,34,18,0.039,0.03,0.5,0.005
2016-05-15,33,19,0.039,0.02,0.4,0.004
2016-05-16,35,17,0.042,0.021,0.5,0.005
2016-05-17,67,37,0.041,0.041,0.6,0.008
2016-05-18,51,28,0.033,0.045,0.6,0.006
2016-05-19,39,20,0.033,0.041,0.5,0.004
2016-05-20,52,30,0.041,0.048,0.5,0.005
2016-05-21,38,25,0.042,0.036,0.4,0.004
2016-05-22,55,38,0.053,0.033,0.5,0.005
2016-05-23,68,45,0.047,0.041,0.5,0.006
2016-05-24,33,23,0.042,0.023,0.4,0.004
2016-05-25,90,61,0.053,0.024,0.5,0.005
2016-05-26,106,71,0.038,0.038,0.7,0.006
2016-05-27,91,54,0.037,0.038,0.6,0.005
2016-05-28,77,39,0.039,0.037,0.5,0.006
2016-05-29,82,42,0.045,0.032,0.6,0.007
2016-05-30,92,54,0.052,0.032,0.6,0.006
2016-05-31,78,46,0.044,0.028,0.5,0.006
2016-06-01,41,22,0.039,0.025,0.4,0.004
2016-06-02,36,18,0.039,0.031,0.4,0.005
2016-06-03,46,25,0.043,0.034,0.4,0.005
2016-06-04,52,28,0.033,0.036,0.5,0.004
2016-06-05,50,28,0.047,0.028,0.4,0.004
2016-06-06,22,13,0.044,0.018,0.3,0.004
2016-06-07,42,26,0.033,0.029,0.4,0.005
2016-06-08,38,24,0.027,0.028,0.4,0.004
2016-06-09,53,31,0.028,0.034,0.4,0.005
2016-06-10,60,36,0.034,0.039,0.5,0.006
2016-06-11,48,31,0.026,0.023,0.4,0.005
2016-06-12,30,20,0.024,0.016,0.3,0.004
2016-06-13,63,36,0.031,0.028,0.5,0.004
2016-06-14,51,31,0.035,0.033,0.5,0.005
2016-06-15,36,23,0.029,0.024,0.4,0.004
2016-06-16,31,19,0.043,0.019,0.4,0.004
2016-06-17,54,36,0.054,0.025,0.5,0.005
2016-06-18,66,45,0.048,0.031,0.6,0.005
2016-06-19,40,28,0.035,0.024,0.5,0.004
2016-06-20,52,35,0.043,0.03,0.5,0.005
2016-06-21,62,42,0.046,0.042,0.6,0.005
2016-06-22,70,48,0.034,0.038,0.6,0.005
2016-06-23,44,30,0.036,0.029,0.5,0.005
2016-06-24,55,32,0.032,0.027,0.4,0.004
2016-06-25,32,17,0.04,0.021,0.4,0.004
2016-06-26,31,18,0.041,0.019,0.4,0.005
2016-06-27,35,21,0.034,0.034,0.4,0.006
2016-06-28,61,41,0.04,0.034,0.5,0.005
2016-06-29,36,24,0.039,0.03,0.4,0.005
2016-06-30,30,20,0.028,0.022,0.4,0.004
2016-07-01,21,14,0.018,0.024,0.3,0.004
2016-07-02,14,9,0.029,0.019,0.3,0.004
2016-07-03,41,29,0.043,0.019,0.4,0.004
2016-07-04,21,14,0.021,0.025,0.4,0.003
2016-07-05,13,8,0.012,0.019,0.4,0.004
2016-07-06,18,9,0.023,0.024,0.4,0.004
2016-07-07,42,26,0.025,0.038,0.5,0.006
2016-07-08,56,36,0.034,0.032,0.5,0.004
2016-07-09,39,23,0.029,0.026,0.4,0.004
2016-07-10,35,22,0.03,0.028,0.4,0.005
2016-07-11,54,36,0.039,0.035,0.5,0.005
2016-07-12,38,27,0.026,0.03,0.4,0.006
2016-07-13,30,17,0.014,0.025,0.3,0.005
